sentence,label_id
metoprolol was added to ongoing atorvastatin therapy,0
Prescribing rifampicin to a patient already on oral contraceptives,1
Prescribing cisapride to a patient already on clarithromycin,2
ibuprofen used concomitantly with losartan,0
digoxin used concomitantly with amiodarone,1
Drug interaction between trimethoprim and methotrexate,2
Patient is taking MAOIs and SSRIs,2
Prescribing linezolid to a patient already on SSRIs,2
clarithromycin was added to ongoing omeprazole therapy,0
Prescribing aspirin to a patient already on paracetamol,0
linezolid used concomitantly with SSRIs,2
Combined therapy with vitamin C and aspirin,0
Drug interaction between amiodarone and sotalol,2
losartan used concomitantly with ibuprofen,0
Co-administration of vitamin C with aspirin,0
Patient is taking warfarin and rifampicin,2
Concurrent use of MAOIs and SSRIs in the same patient,2
Patient is taking metformin and amoxicillin,0
amoxicillin was added to ongoing metformin therapy,0
Simultaneous administration of simvastatin and erythromycin,1
Patient is taking ibuprofen and losartan,0
Drug interaction between metoprolol and atorvastatin,0
The patient received amlodipine alongside metformin,0
cyclosporine was added to ongoing statins therapy,1
Co-administration of ezetimibe with atorvastatin,0
ramipril used concomitantly with simvastatin,0
Co-administration of metoprolol with atorvastatin,0
Drug interaction between paracetamol and cetirizine,0
Simultaneous administration of amiodarone and sotalol,2
omeprazole used concomitantly with clopidogrel,1
Co-administration of diltiazem with simvastatin,1
The patient received metformin alongside alcohol,1
Simultaneous administration of oral contraceptives and rifampicin,1
Patient is taking linezolid and SSRIs,2
metformin used concomitantly with amlodipine,0
Drug interaction between clopidogrel and omeprazole,1
Co-administration of linezolid with SSRIs,2
Prescribing lisinopril to a patient already on potassium,1
Drug interaction between fluoxetine and tramadol,1
Concurrent use of valproate and carbamazepine in the same patient,2
simvastatin was added to ongoing ramipril therapy,0
Combined therapy with NSAIDs and methotrexate,1
Patient is taking omeprazole and clarithromycin,0
Drug interaction between paracetamol and aspirin,0
ramipril was added to ongoing simvastatin therapy,0
Prescribing diltiazem to a patient already on simvastatin,1
warfarin was added to ongoing aspirin therapy,1
Drug interaction between theophylline and ciprofloxacin,2
methotrexate used concomitantly with trimethoprim,2
Co-administration of oral contraceptives with rifampicin,1
Drug interaction between lisinopril and potassium,1
Simultaneous administration of simvastatin and diltiazem,1
amiodarone was added to ongoing digoxin therapy,1
Combined therapy with fluoxetine and tramadol,1
Co-administration of clarithromycin with omeprazole,0
The patient received ramipril alongside simvastatin,0
Drug interaction between aspirin and paracetamol,0
Combined therapy with NSAIDs and lithium,2
warfarin was added to ongoing fluconazole therapy,1
Co-administration of tramadol with fluoxetine,1
Patient is taking amiodarone and sotalol,2
Simultaneous administration of amlodipine and lisinopril,0
Prescribing ramipril to a patient already on simvastatin,0
Co-administration of amlodipine with omeprazole,0
Simultaneous administration of alcohol and metformin,1
Prescribing oral contraceptives to a patient already on rifampicin,1
Concurrent use of pethidine and MAOIs in the same patient,2
Patient is taking amiodarone and digoxin,1
Patient is taking simvastatin and erythromycin,1
Simultaneous administration of NSAIDs and methotrexate,1
Combined therapy with tramadol and fluoxetine,1
Prescribing warfarin to a patient already on rifampicin,2
Drug interaction between rifampicin and warfarin,2
Co-administration of erythromycin with simvastatin,1
Concurrent use of lisinopril and potassium in the same patient,1
Simultaneous administration of digoxin and quinidine,2
atorvastatin was added to ongoing ezetimibe therapy,0
Drug interaction between atorvastatin and ezetimibe,0
itraconazole used concomitantly with simvastatin,2
Combined therapy with SSRIs and linezolid,2
The patient received SSRIs alongside MAOIs,2
Drug interaction between carbamazepine and oral contraceptives,1
The patient received ibuprofen alongside losartan,0
Combined therapy with cetirizine and paracetamol,0
omeprazole was added to ongoing clarithromycin therapy,0
Combined therapy with omeprazole and atenolol,0
Drug interaction between warfarin and fluconazole,1
Patient is taking ezetimibe and atorvastatin,0
The patient received warfarin alongside aspirin,1
Patient is taking theophylline and ciprofloxacin,2
Patient is taking metformin and amlodipine,0
pethidine was added to ongoing MAOIs therapy,2
Combined therapy with metformin and amlodipine,0
Patient is taking oral contraceptives and rifampicin,1
simvastatin was added to ongoing itraconazole therapy,2
The patient received methotrexate alongside NSAIDs,1
Concurrent use of methotrexate and NSAIDs in the same patient,1
Combined therapy with simvastatin and diltiazem,1
Combined therapy with clarithromycin and omeprazole,0
cyclosporine used concomitantly with statins,1
Prescribing losartan to a patient already on ibuprofen,0
ketoconazole was added to ongoing terfenadine therapy,2
lisinopril was added to ongoing metformin therapy,0
Co-administration of ketoconazole with terfenadine,2
Prescribing phenytoin to a patient already on warfarin,2
Prescribing simvastatin to a patient already on itraconazole,2
Concurrent use of warfarin and rifampicin in the same patient,2
Patient is taking atorvastatin and ezetimibe,0
Concurrent use of metformin and alcohol in the same patient,1
Co-administration of methotrexate with NSAIDs,1
The patient received amiodarone alongside digoxin,1
clopidogrel was added to ongoing omeprazole therapy,1
aspirin was added to ongoing vitamin C therapy,0
Drug interaction between valproate and carbamazepine,2
oral contraceptives was added to ongoing rifampicin therapy,1
aspirin used concomitantly with paracetamol,0
Simultaneous administration of paracetamol and cetirizine,0
Combined therapy with alcohol and metformin,1
clarithromycin used concomitantly with cisapride,2
Patient is taking simvastatin and itraconazole,2
Combined therapy with amoxicillin and metformin,0
The patient received tramadol alongside fluoxetine,1
Concurrent use of SSRIs and MAOIs in the same patient,2
The patient received simvastatin alongside itraconazole,2
Simultaneous administration of amlodipine and metformin,0
Patient is taking methotrexate and trimethoprim,2
Simultaneous administration of digoxin and amiodarone,1
Co-administration of fluconazole with warfarin,1
Prescribing metformin to a patient already on amoxicillin,0
verapamil used concomitantly with digoxin,1
Concurrent use of NSAIDs and lithium in the same patient,2
atenolol was added to ongoing omeprazole therapy,0
Drug interaction between SSRIs and MAOIs,2
Simultaneous administration of erythromycin and simvastatin,1
Co-administration of amiodarone with digoxin,1
Patient is taking SSRIs and linezolid,2
Combined therapy with ibuprofen and losartan,0
Co-administration of clarithromycin with cisapride,2
The patient received diltiazem alongside simvastatin,1
Combined therapy with lisinopril and potassium,1
Co-administration of simvastatin with erythromycin,1
Combined therapy with rifampicin and oral contraceptives,1
The patient received aspirin alongside paracetamol,0
Patient is taking digoxin and amiodarone,1
carbamazepine used concomitantly with oral contraceptives,1
Combined therapy with potassium and lisinopril,1
The patient received cetirizine alongside paracetamol,0
Prescribing metformin to a patient already on lisinopril,0
The patient received paracetamol alongside aspirin,0
The patient received paracetamol alongside cetirizine,0
digoxin was added to ongoing amiodarone therapy,1
Concurrent use of amiodarone and digoxin in the same patient,1
Simultaneous administration of warfarin and fluconazole,1
Co-administration of cyclosporine with statins,1
Patient is taking losartan and ibuprofen,0
Simultaneous administration of amlodipine and omeprazole,0
Co-administration of omeprazole with clopidogrel,1
Combined therapy with aspirin and warfarin,1
Combined therapy with carbamazepine and oral contraceptives,1
Drug interaction between statins and cyclosporine,1
carbamazepine used concomitantly with valproate,2
Drug interaction between omeprazole and clarithromycin,0
The patient received linezolid alongside SSRIs,2
Patient is taking omeprazole and atenolol,0
Patient is taking cisapride and clarithromycin,2
Patient is taking erythromycin and simvastatin,1
Simultaneous administration of linezolid and SSRIs,2
Concurrent use of erythromycin and simvastatin in the same patient,1
Drug interaction between metformin and amoxicillin,0
Co-administration of omeprazole with atenolol,0
Prescribing fluoxetine to a patient already on tramadol,1
Patient is taking aspirin and vitamin C,0
Patient is taking cyclosporine and statins,1
Drug interaction between amiodarone and digoxin,1
Patient is taking fluoxetine and tramadol,1
Drug interaction between atenolol and omeprazole,0
Combined therapy with ramipril and simvastatin,0
pethidine used concomitantly with MAOIs,2
Prescribing trimethoprim to a patient already on methotrexate,2
phenytoin was added to ongoing warfarin therapy,2
Simultaneous administration of cisapride and clarithromycin,2
Combined therapy with ciprofloxacin and antacids,1
Simultaneous administration of omeprazole and clarithromycin,0
Concurrent use of omeprazole and atenolol in the same patient,0
Drug interaction between NSAIDs and methotrexate,1
Simultaneous administration of metformin and lisinopril,0
Simultaneous administration of ezetimibe and atorvastatin,0
Combined therapy with omeprazole and amlodipine,0
Concurrent use of trimethoprim and methotrexate in the same patient,2
Prescribing erythromycin to a patient already on simvastatin,1
Prescribing cyclosporine to a patient already on statins,1
Co-administration of antacids with ciprofloxacin,1
Simultaneous administration of aspirin and vitamin C,0
Drug interaction between NSAIDs and lithium,2
metformin used concomitantly with lisinopril,0
Drug interaction between clarithromycin and omeprazole,0
Patient is taking ketoconazole and terfenadine,2
Patient is taking potassium and lisinopril,1
Co-administration of omeprazole with clarithromycin,0
Drug interaction between metformin and glipizide,0
Prescribing MAOIs to a patient already on pethidine,2
Concurrent use of verapamil and digoxin in the same patient,1
phenytoin used concomitantly with warfarin,2
Drug interaction between metformin and alcohol,1
Drug interaction between omeprazole and amlodipine,0
Co-administration of pimozide with azithromycin,2
Patient is taking rifampicin and warfarin,2
Patient is taking lisinopril and metformin,0
Co-administration of aspirin with vitamin C,0
pimozide was added to ongoing azithromycin therapy,2
methotrexate used concomitantly with NSAIDs,1
Simultaneous administration of methotrexate and trimethoprim,2
metformin used concomitantly with alcohol,1
The patient received warfarin alongside phenytoin,2
Prescribing atorvastatin to a patient already on metoprolol,0
Combined therapy with clarithromycin and cisapride,2
Co-administration of simvastatin with itraconazole,2
diltiazem used concomitantly with simvastatin,1
Concurrent use of aspirin and paracetamol in the same patient,0
The patient received erythromycin alongside simvastatin,1
aspirin was added to ongoing paracetamol therapy,0
Concurrent use of omeprazole and clarithromycin in the same patient,0
Simultaneous administration of atorvastatin and ezetimibe,0
warfarin was added to ongoing phenytoin therapy,2
Concurrent use of metformin and amoxicillin in the same patient,0
Simultaneous administration of amoxicillin and metformin,0
warfarin used concomitantly with phenytoin,2
Combined therapy with losartan and ibuprofen,0
Drug interaction between amoxicillin and metformin,0
Drug interaction between warfarin and aspirin,1
Concurrent use of metformin and lisinopril in the same patient,0
Concurrent use of aspirin and warfarin in the same patient,1
valproate was added to ongoing carbamazepine therapy,2
The patient received digoxin alongside verapamil,1
The patient received clarithromycin alongside omeprazole,0
Simultaneous administration of lisinopril and potassium,1
Simultaneous administration of lithium and NSAIDs,2
Combined therapy with cisapride and clarithromycin,2
Combined therapy with erythromycin and simvastatin,1
Concurrent use of pimozide and azithromycin in the same patient,2
Co-administration of valproate with carbamazepine,2
Simultaneous administration of carbamazepine and oral contraceptives,1
Combined therapy with theophylline and ciprofloxacin,2
omeprazole was added to ongoing amlodipine therapy,0
Co-administration of amoxicillin with metformin,0
The patient received carbamazepine alongside valproate,2
Concurrent use of lisinopril and metformin in the same patient,0
amlodipine was added to ongoing omeprazole therapy,0
Combined therapy with fluconazole and warfarin,1
Concurrent use of fluoxetine and tramadol in the same patient,1
Drug interaction between aspirin and warfarin,1
losartan was added to ongoing ibuprofen therapy,0
Prescribing carbamazepine to a patient already on valproate,2
Combined therapy with simvastatin and itraconazole,2
lisinopril used concomitantly with amlodipine,0
Combined therapy with digoxin and verapamil,1
Concurrent use of paracetamol and aspirin in the same patient,0
Drug interaction between ezetimibe and atorvastatin,0
Co-administration of NSAIDs with lithium,2
diltiazem was added to ongoing simvastatin therapy,1
Concurrent use of quinidine and digoxin in the same patient,2
Co-administration of cetirizine with paracetamol,0
Patient is taking atorvastatin and metoprolol,0
Drug interaction between carbamazepine and valproate,2
Co-administration of ibuprofen with losartan,0
Prescribing amiodarone to a patient already on digoxin,1
Patient is taking lisinopril and amlodipine,0
Prescribing sotalol to a patient already on amiodarone,2
The patient received terfenadine alongside ketoconazole,2
The patient received atenolol alongside omeprazole,0
Co-administration of paracetamol with cetirizine,0
Patient is taking diltiazem and simvastatin,1
Combined therapy with verapamil and digoxin,1
cisapride used concomitantly with clarithromycin,2
Drug interaction between simvastatin and itraconazole,2
oral contraceptives was added to ongoing carbamazepine therapy,1
Concurrent use of ciprofloxacin and antacids in the same patient,1
Drug interaction between warfarin and rifampicin,2
Simultaneous administration of atorvastatin and metoprolol,0
Patient is taking alcohol and metformin,1
SSRIs used concomitantly with MAOIs,2
fluconazole was added to ongoing warfarin therapy,1
clarithromycin was added to ongoing cisapride therapy,2
Co-administration of metformin with glipizide,0
Co-administration of aspirin with warfarin,1
Simultaneous administration of rifampicin and warfarin,2
Simultaneous administration of simvastatin and ramipril,0
Simultaneous administration of ciprofloxacin and antacids,1
Concurrent use of digoxin and verapamil in the same patient,1
The patient received MAOIs alongside SSRIs,2
Prescribing omeprazole to a patient already on clarithromycin,0
tramadol used concomitantly with fluoxetine,1
Co-administration of terfenadine with ketoconazole,2
Simultaneous administration of omeprazole and clopidogrel,1
Co-administration of metformin with lisinopril,0
lithium was added to ongoing NSAIDs therapy,2
Concurrent use of metformin and amlodipine in the same patient,0
Simultaneous administration of phenytoin and warfarin,2
Co-administration of lithium with NSAIDs,2
Simultaneous administration of aspirin and paracetamol,0
Prescribing ciprofloxacin to a patient already on antacids,1
amiodarone used concomitantly with sotalol,2
Combined therapy with MAOIs and SSRIs,2
The patient received metformin alongside amlodipine,0
Co-administration of lisinopril with amlodipine,0
Patient is taking ciprofloxacin and theophylline,2
metformin was added to ongoing lisinopril therapy,0
Prescribing warfarin to a patient already on fluconazole,1
The patient received metoprolol alongside atorvastatin,0
Drug interaction between MAOIs and SSRIs,2
Co-administration of digoxin with verapamil,1
Prescribing statins to a patient already on cyclosporine,1
Combined therapy with amlodipine and omeprazole,0
lisinopril was added to ongoing amlodipine therapy,0
Combined therapy with lithium and NSAIDs,2
Prescribing NSAIDs to a patient already on lithium,2
Drug interaction between omeprazole and atenolol,0
azithromycin used concomitantly with pimozide,2
Co-administration of ramipril with simvastatin,0
Drug interaction between quinidine and digoxin,2
The patient received clarithromycin alongside cisapride,2
MAOIs was added to ongoing SSRIs therapy,2
Concurrent use of SSRIs and linezolid in the same patient,2
amlodipine was added to ongoing lisinopril therapy,0
The patient received metformin alongside amoxicillin,0
Drug interaction between erythromycin and simvastatin,1
Prescribing digoxin to a patient already on amiodarone,1
Co-administration of omeprazole with amlodipine,0
Patient is taking amoxicillin and metformin,0
atorvastatin was added to ongoing metoprolol therapy,0
Simultaneous administration of fluoxetine and tramadol,1
Patient is taking methotrexate and NSAIDs,1
Simultaneous administration of trimethoprim and methotrexate,2
Co-administration of lisinopril with potassium,1
Patient is taking statins and cyclosporine,1
Concurrent use of warfarin and phenytoin in the same patient,2
Combined therapy with paracetamol and cetirizine,0
omeprazole was added to ongoing atenolol therapy,0
Combined therapy with digoxin and amiodarone,1
Simultaneous administration of SSRIs and MAOIs,2
Concurrent use of lisinopril and amlodipine in the same patient,0
ciprofloxacin used concomitantly with antacids,1
The patient received rifampicin alongside oral contraceptives,1
rifampicin used concomitantly with oral contraceptives,1
ibuprofen was added to ongoing losartan therapy,0
Patient is taking quinidine and digoxin,2
Simultaneous administration of paracetamol and aspirin,0
The patient received ketoconazole alongside terfenadine,2
clarithromycin used concomitantly with omeprazole,0
Co-administration of amlodipine with lisinopril,0
Drug interaction between diltiazem and simvastatin,1
Concurrent use of clarithromycin and cisapride in the same patient,2
Simultaneous administration of metformin and alcohol,1
lithium used concomitantly with NSAIDs,2
Concurrent use of amlodipine and omeprazole in the same patient,0
